image_path,model,condition,corruption,severity,index,true_label,pred_label,confidence,entropy,above_threshold
outputs/failure_cases/standard__failure_01__motion_blur_s3__idx1536.png,standard,motion_blur_s3,motion_blur,3,1536,5,3,1.0,2.918303039223247e-07,True
outputs/failure_cases/standard__failure_02__motion_blur_s3__idx2635.png,standard,motion_blur_s3,motion_blur,3,2635,6,3,1.0,4.545150034118706e-07,True
outputs/failure_cases/standard__failure_03__motion_blur_s5__idx1675.png,standard,motion_blur_s5,motion_blur,5,1675,5,3,1.0,4.013684531400941e-07,True
outputs/failure_cases/standard__failure_04__fog_s3__idx4740.png,standard,fog_s3,fog,3,4740,5,3,1.0,7.44695341836632e-07,True
outputs/failure_cases/standard__failure_05__fog_s5__idx3075.png,standard,fog_s5,fog,5,3075,6,3,1.0,1.6715733863748028e-06,True
outputs/failure_cases/robust_augmix_wrn__failure_01__gaussian_noise_s5__idx1434.png,robust_augmix_wrn,gaussian_noise_s5,gaussian_noise,5,1434,0,6,0.9999884366989136,0.0001636509841773,True
outputs/failure_cases/robust_augmix_wrn__failure_02__gaussian_noise_s3__idx4476.png,robust_augmix_wrn,gaussian_noise_s3,gaussian_noise,3,4476,1,6,0.9999855756759644,0.000193435291294,True
outputs/failure_cases/robust_augmix_wrn__failure_03__gaussian_noise_s5__idx8658.png,robust_augmix_wrn,gaussian_noise_s5,gaussian_noise,5,8658,3,6,0.9999855756759644,0.0001938430359587,True
outputs/failure_cases/robust_augmix_wrn__failure_04__gaussian_noise_s5__idx172.png,robust_augmix_wrn,gaussian_noise_s5,gaussian_noise,5,172,9,6,0.9999847412109376,0.0002082666323985,True
outputs/failure_cases/robust_augmix_wrn__failure_05__gaussian_noise_s5__idx1731.png,robust_augmix_wrn,gaussian_noise_s5,gaussian_noise,5,1731,5,6,0.9999802112579346,0.0002507296158,True
