model,condition,corruption,severity,num_samples,accuracy,clean_accuracy,accuracy_drop,relative_drop,avg_confidence,wrong_confidence,prediction_entropy
standard,clean,clean,0,10000,0.9477,0.9477,0.0,0.0,0.9830230474472046,0.8392778635025024,0.04410402849316597
robust_augmix_wrn,clean,clean,0,10000,0.9508,0.9508,0.0,0.0,0.9668962955474854,0.7526624798774719,0.09988412261009216
standard,gaussian_noise_s1,gaussian_noise,1,10000,0.778,0.9477,0.16969999999999996,0.17906510499103087,0.9426053762435913,0.8468308448791504,0.14905193448066711
robust_augmix_wrn,gaussian_noise_s1,gaussian_noise,1,10000,0.9135,0.9508,0.0373,0.03923012200252419,0.9514064192771912,0.7429683208465576,0.13981765508651733
standard,gaussian_noise_s3,gaussian_noise,3,10000,0.3919,0.9477,0.5558,0.5864725123984383,0.8996313214302063,0.8782583475112915,0.26240015029907227
robust_augmix_wrn,gaussian_noise_s3,gaussian_noise,3,10000,0.7956,0.9508,0.1552,0.16323096339924276,0.9189517498016357,0.7857736349105835,0.2261090874671936
standard,gaussian_noise_s5,gaussian_noise,5,10000,0.2768,0.9477,0.6709,0.7079244486651894,0.8923384547233582,0.8797188997268677,0.2812725901603699
robust_augmix_wrn,gaussian_noise_s5,gaussian_noise,5,10000,0.7123,0.9508,0.23849999999999993,0.2508413967185527,0.9019021391868591,0.8011950254440308,0.27245819568634033
standard,motion_blur_s1,motion_blur,1,10000,0.9026,0.9477,0.04510000000000003,0.04758889944075132,0.9718988537788391,0.85080885887146,0.07535487413406372
robust_augmix_wrn,motion_blur_s1,motion_blur,1,10000,0.9448,0.9508,0.006000000000000005,0.006310475389145988,0.9639165997505188,0.7590960264205933,0.10807808488607407
standard,motion_blur_s3,motion_blur,3,10000,0.7442,0.9477,0.20350000000000001,0.21473039991558512,0.9350160360336304,0.8510223031044006,0.1723727583885193
robust_augmix_wrn,motion_blur_s3,motion_blur,3,10000,0.9143,0.9508,0.03649999999999998,0.038388725283971366,0.9504815340042114,0.7479126453399658,0.14288830757141113
standard,motion_blur_s5,motion_blur,5,10000,0.6524,0.9477,0.2953,0.311596496781682,0.9188571572303772,0.854468584060669,0.21677029132843018
robust_augmix_wrn,motion_blur_s5,motion_blur,5,10000,0.8942,0.9508,0.056599999999999984,0.059528817837610416,0.9412367343902588,0.759297788143158,0.16823364794254303
standard,fog_s1,fog,1,10000,0.9451,0.9477,0.0025999999999999357,0.0027434842249656386,0.982591986656189,0.8378382325172424,0.04521537944674492
robust_augmix_wrn,fog_s1,fog,1,10000,0.9509,0.9508,-9.999999999998899e-05,-0.00010517458981908812,0.9665798544883728,0.7541618347167969,0.1007709875702858
standard,fog_s3,fog,3,10000,0.9229,0.9477,0.024799999999999933,0.026168618761211283,0.977592945098877,0.8573132753372192,0.05935879424214363
robust_augmix_wrn,fog_s3,fog,3,10000,0.9368,0.9508,0.014000000000000012,0.014724442574673972,0.9594749808311462,0.7529038786888123,0.12042943388223648
standard,fog_s5,fog,5,10000,0.74,0.9477,0.2077,0.2191621821251451,0.9368332028388977,0.852178692817688,0.1681961864233017
robust_augmix_wrn,fog_s5,fog,5,10000,0.825,0.9508,0.12580000000000002,0.13230963399242746,0.9209471940994263,0.7749379277229309,0.22700408101081848
standard,contrast_s1,contrast,1,10000,0.9427,0.9477,0.0050000000000000044,0.005275931201857133,0.9831847548484802,0.8539530038833618,0.04401034116744995
robust_augmix_wrn,contrast_s1,contrast,1,10000,0.9501,0.9508,0.0007000000000000339,0.0007362221287337337,0.9660959243774414,0.7514238357543945,0.10159532725811005
standard,contrast_s3,contrast,3,10000,0.8971,0.9477,0.05059999999999998,0.053392423762794114,0.9690104722976685,0.8500396609306335,0.08059095591306686
robust_augmix_wrn,contrast_s3,contrast,3,10000,0.9282,0.9508,0.022599999999999953,0.023769457299116486,0.9560121893882751,0.7413893938064575,0.12886254489421844
standard,contrast_s5,contrast,5,10000,0.5329,0.9477,0.41479999999999995,0.4376912525060673,0.8788296580314636,0.8218737244606018,0.3220010995864868
robust_augmix_wrn,contrast_s5,contrast,5,10000,0.7905,0.9508,0.1603,0.16859486748001684,0.8951780200004578,0.7361781597137451,0.3034529387950897
standard,jpeg_compression_s1,jpeg_compression,1,10000,0.8635,0.9477,0.08419999999999994,0.08884668143927398,0.9582579135894775,0.838892936706543,0.10998199135065079
robust_augmix_wrn,jpeg_compression_s1,jpeg_compression,1,10000,0.9134,0.9508,0.03739999999999999,0.03933529659234328,0.9489279985427856,0.7441636919975281,0.15065720677375793
standard,jpeg_compression_s3,jpeg_compression,3,10000,0.7796,0.9477,0.16810000000000003,0.17737680700643665,0.9353939294815063,0.8359423875808716,0.17209826409816742
robust_augmix_wrn,jpeg_compression_s3,jpeg_compression,3,10000,0.8785,0.9508,0.07230000000000003,0.07604122843920912,0.9331932663917542,0.7283611297607422,0.1936093419790268
standard,jpeg_compression_s5,jpeg_compression,5,10000,0.697,0.9477,0.25070000000000003,0.26453519046111645,0.9161314368247986,0.8297352194786072,0.2244771420955658
robust_augmix_wrn,jpeg_compression_s5,jpeg_compression,5,10000,0.8532,0.9508,0.09760000000000002,0.10265039966344133,0.9219332933425903,0.7410860657691956,0.2252526879310608
