model,condition,corruption,severity,num_samples,accuracy,clean_accuracy,accuracy_drop,relative_drop,avg_confidence,wrong_confidence,prediction_entropy,tta
standard,clean,clean,0,10000,0.9541,0.9541,0.0,0.0,0.9754016399383545,0.7893903851509094,0.05777106434106827,True
robust_augmix_wrn,clean,clean,0,10000,0.9559,0.9559,0.0,0.0,0.9612137675285339,0.7150185704231262,0.11199715733528137,True
standard,gaussian_noise_s1,gaussian_noise,1,10000,0.7862,0.9541,0.16789999999999994,0.17597736086364107,0.9165453314781189,0.7786574959754944,0.19802416861057281,True
robust_augmix_wrn,gaussian_noise_s1,gaussian_noise,1,10000,0.9201,0.9559,0.03579999999999994,0.037451616277853275,0.9409650564193726,0.6942323446273804,0.1619037538766861,True
standard,gaussian_noise_s3,gaussian_noise,3,10000,0.395,0.9541,0.5590999999999999,0.5859972749187716,0.8562782406806946,0.8264992237091064,0.34272992610931396,True
robust_augmix_wrn,gaussian_noise_s3,gaussian_noise,3,10000,0.8044,0.9559,0.15149999999999997,0.15848938173449104,0.8937639594078064,0.7244151830673218,0.2761671543121338,True
standard,gaussian_noise_s5,gaussian_noise,5,10000,0.2789,0.9541,0.6752,0.7076826328477099,0.8474806547164917,0.8315019607543945,0.3653305470943451,True
robust_augmix_wrn,gaussian_noise_s5,gaussian_noise,5,10000,0.7257,0.9559,0.23019999999999996,0.24082016947379428,0.8645126819610596,0.730983316898346,0.3453342914581299,True
standard,motion_blur_s1,motion_blur,1,10000,0.9074,0.9541,0.046699999999999964,0.04894665129441355,0.9571170210838318,0.7801138162612915,0.10230857133865356,True
robust_augmix_wrn,motion_blur_s1,motion_blur,1,10000,0.9478,0.9559,0.008099999999999996,0.008473689716497538,0.9575931429862976,0.7116581201553345,0.12167394906282425,True
standard,motion_blur_s3,motion_blur,3,10000,0.7497,0.9541,0.20439999999999992,0.21423330887747608,0.9047218561172485,0.7920404672622681,0.22990678250789642,True
robust_augmix_wrn,motion_blur_s3,motion_blur,3,10000,0.9233,0.9559,0.03259999999999996,0.03410398577257032,0.9412369132041931,0.7154136896133423,0.16306796669960022,True
standard,motion_blur_s5,motion_blur,5,10000,0.6532,0.9541,0.30089999999999995,0.31537574677706737,0.8817408084869385,0.793971061706543,0.28588223457336426,True
robust_augmix_wrn,motion_blur_s5,motion_blur,5,10000,0.9034,0.9559,0.05249999999999999,0.054922062977298874,0.9282475709915161,0.7107263803482056,0.19559408724308014,True
standard,fog_s1,fog,1,10000,0.9512,0.9541,0.0028999999999999027,0.0030395136778114482,0.9749125242233276,0.7844976186752319,0.05908894166350365,True
robust_augmix_wrn,fog_s1,fog,1,10000,0.9545,0.9559,0.0013999999999999568,0.0014645883460612584,0.9611023664474487,0.7114590406417847,0.1122002899646759,True
standard,fog_s3,fog,3,10000,0.9269,0.9541,0.027200000000000002,0.02850854208154282,0.9669439196586609,0.7965772747993469,0.07958193123340607,True
robust_augmix_wrn,fog_s3,fog,3,10000,0.939,0.9559,0.016900000000000026,0.017679673606025764,0.9528693556785583,0.7057895064353943,0.13442470133304596,True
standard,fog_s5,fog,5,10000,0.7467,0.9541,0.20739999999999992,0.21737763337176388,0.9104525446891785,0.8030515313148499,0.21673466265201569,True
robust_augmix_wrn,fog_s5,fog,5,10000,0.8332,0.9559,0.12269999999999992,0.12836070718694417,0.904586911201477,0.7354829907417297,0.25977960228919983,True
standard,contrast_s1,contrast,1,10000,0.9468,0.9541,0.007299999999999973,0.007651189602766978,0.9747911095619202,0.7875427007675171,0.0591670460999012,True
robust_augmix_wrn,contrast_s1,contrast,1,10000,0.9543,0.9559,0.0015999999999999348,0.0016738152526414216,0.9611750245094299,0.7147460579872131,0.11260093003511429,True
standard,contrast_s3,contrast,3,10000,0.9039,0.9541,0.05019999999999991,0.0526150298710826,0.9564751982688904,0.8007882237434387,0.10438338667154312,True
robust_augmix_wrn,contrast_s3,contrast,3,10000,0.9355,0.9559,0.020399999999999974,0.021341144471178967,0.9492884874343872,0.7157164812088013,0.14357484877109528,True
standard,contrast_s5,contrast,5,10000,0.5368,0.9541,0.4172999999999999,0.43737553715543437,0.853266716003418,0.788573145866394,0.3727826774120331,True
robust_augmix_wrn,contrast_s5,contrast,5,10000,0.8007,0.9559,0.1552,0.1623600795062245,0.8789306879043579,0.7008868455886841,0.33699721097946167,True
standard,jpeg_compression_s1,jpeg_compression,1,10000,0.8679,0.9541,0.08619999999999994,0.09034692380253637,0.9391596913337708,0.7695609927177429,0.1463550478219986,True
robust_augmix_wrn,jpeg_compression_s1,jpeg_compression,1,10000,0.9209,0.9559,0.03499999999999992,0.036614708651532504,0.9378063678741455,0.6971883177757263,0.1730542927980423,True
standard,jpeg_compression_s3,jpeg_compression,3,10000,0.7861,0.9541,0.16799999999999993,0.17608217168011733,0.906137228012085,0.7643074989318848,0.22903978824615479,True
robust_augmix_wrn,jpeg_compression_s3,jpeg_compression,3,10000,0.8913,0.9559,0.06459999999999999,0.06758029082540014,0.9198445081710815,0.6916487216949463,0.22184574604034424,True
standard,jpeg_compression_s5,jpeg_compression,5,10000,0.7034,0.9541,0.2506999999999999,0.2627607169059846,0.8782980442047119,0.7580123543739319,0.29494908452033997,True
robust_augmix_wrn,jpeg_compression_s5,jpeg_compression,5,10000,0.8621,0.9559,0.0938,0.09812741918610733,0.9045665264129639,0.6951017379760742,0.2626299560070038,True
